geneID	geneSymbol	baseMean	log2FC	pvalue	fdr	KD.tpm.ave	NC.tpm.ave	perturb_id	KD.geneSymbol	ZScore
ENSG00000180354	C7orf41	80.33	-0.21636847866052	0.464041518806772	0.783027699686907	6.271	7.155	ASO_G0272888_AD_07	AC013394.2	-0.769
ENSG00000205808	PPAPDC2	79.442	-0.153903492909171	0.464139918484941	0.783027699686907	6.41	7.063	ASO_G0272888_AD_07	AC013394.2	-0.646
ENSG00000213949	ITGA1	233.492	-0.0978608089301545	0.464093728135386	0.783027699686907	19.793	20.643	ASO_G0272888_AD_07	AC013394.2	-0.117
ENSG00000215375	MYL5	150.141	-0.108754488624794	0.463872392888269	0.783027699686907	12.655	13.287	ASO_G0272888_AD_07	AC013394.2	-0.591
ENSG00000236144	AD000090.2	105.941	0.107588545137582	0.464155575022341	0.783027699686907	10.324	9.223	ASO_G0272888_AD_07	AC013394.2	0.463
ENSG00000242262	RP11-100N21.1	206.134	0.117145876152676	0.46395365151374	0.783027699686907	19.984	17.908	ASO_G0272888_AD_07	AC013394.2	0.507
ENSG00000255624	RP11-564D11.3	16.414	0.253178597945889	0.463411494109203	0.783027699686907	1.701	1.415	ASO_G0272888_AD_07	AC013394.2	0.689
ENSG00000263400	CTC-297N7.5	15.836	-0.261918652021477	0.464255895549932	0.783112416085197	1.228	1.419	ASO_G0272888_AD_07	AC013394.2	-0.648
ENSG00000254154	RP4-798P15.3	130.936	-0.112263143828321	0.464388428941595	0.783251445382231	11.126	11.571	ASO_G0272888_AD_07	AC013394.2	-0.457
ENSG00000127870	RNF6	321.238	0.0927819317592906	0.464555702791114	0.783387461074755	30.637	27.955	ASO_G0272888_AD_07	AC013394.2	0.378
ENSG00000169857	AVEN	233.562	-0.224825538872541	0.464569313928465	0.783387461074755	18.258	20.78	ASO_G0272888_AD_07	AC013394.2	-0.468
ENSG00000011143	MKS1	166.566	-0.106340305368483	0.464806225556666	0.783617873525044	14.139	14.73	ASO_G0272888_AD_07	AC013394.2	-0.444
