geneID	geneSymbol	baseMean	log2FC	pvalue	fdr	KD.tpm.ave	NC.tpm.ave	perturb_id	KD.geneSymbol	ZScore
ENSG00000176095	IP6K1	648.616	-0.959837019684075	9.8183336367441e-12	1.53666739748682e-07	31.348	59.056	ASO_G0272888_AD_10	AC013394.2	-4.829
ENSG00000187840	EIF4EBP1	2895.132	-0.399953904805026	2.66131361671596e-08	0.000208261097076108	201.849	256.013	ASO_G0272888_AD_10	AC013394.2	-1.765
ENSG00000250337	LINC01021	11.453	1.75137754744617	5.26703219662985e-08	0.000274781069698179	2.744	0.778	ASO_G0272888_AD_10	AC013394.2	0.419
ENSG00000107902	LHPP	363.28	-0.435519679405624	2.10127876380542e-07	0.000709467770794615	24.653	32.212	ASO_G0272888_AD_10	AC013394.2	-1.364
ENSG00000149131	SERPING1	426.824	-0.617234617607135	2.26652536832987e-07	0.000709467770794615	26.065	38.22	ASO_G0272888_AD_10	AC013394.2	-2.256
ENSG00000272888	AC013394.2	474.397	-1.55686549504485	8.62078523035232e-07	0.0022487318273374	15.453	44.091	ASO_G0272888_AD_10	AC013394.2	-6.058
ENSG00000204291	COL15A1	140.792	-0.777703001932578	1.25772537871732e-06	0.00281209427175782	7.824	12.696	ASO_G0272888_AD_10	AC013394.2	-1.213
ENSG00000075213	SEMA3A	1197.245	0.42925727133707	3.14166402117283e-06	0.006146272949422	139.425	99.186	ASO_G0272888_AD_10	AC013394.2	1.71
ENSG00000026103	FAS	378.886	0.513509600910688	4.58206768178469e-06	0.00651944920796474	46.328	31.135	ASO_G0272888_AD_10	AC013394.2	1.65
ENSG00000146122	DAAM2	272.416	-0.611193730493726	4.43578810455225e-06	0.00651944920796474	16.473	24.426	ASO_G0272888_AD_10	AC013394.2	-1.857
ENSG00000169515	CCDC8	361.381	-0.582944721356724	3.80704162295248e-06	0.00651944920796474	22.448	32.343	ASO_G0272888_AD_10	AC013394.2	-2.326
ENSG00000105221	AKT2	1847.337	-0.376575362222058	1.21742713061376e-05	0.0156146490088762	130.644	163.108	ASO_G0272888_AD_10	AC013394.2	-1.825
ENSG00000154447	SH3RF1	396.495	0.505291706385897	1.29698062178385e-05	0.0156146490088762	48.285	32.622	ASO_G0272888_AD_10	AC013394.2	2.483
ENSG00000008283	CYB561	330.78	-0.553132816049938	1.52302187483214e-05	0.016354662793098	20.791	29.555	ASO_G0272888_AD_10	AC013394.2	-2.612
ENSG00000168621	GDNF	74.902	0.781459829481549	1.56743940896089e-05	0.016354662793098	10.645	5.963	ASO_G0272888_AD_10	AC013394.2	1.26
ENSG00000122861	PLAU	1871.213	0.505129378422627	3.38205065370437e-05	0.0330827967382045	227.554	153.839	ASO_G0272888_AD_10	AC013394.2	1.479
ENSG00000048392	RRM2B	312.782	0.386985217840455	4.05207256856272e-05	0.0333784146160921	35.421	26.023	ASO_G0272888_AD_10	AC013394.2	0.697
ENSG00000177239	MAN1B1	882.874	-0.371851730146443	4.03354079656006e-05	0.0333784146160921	62.836	77.878	ASO_G0272888_AD_10	AC013394.2	-2.811
ENSG00000184575	XPOT	1802.532	-0.504607393075731	3.90544498711591e-05	0.0333784146160921	117.626	160.41	ASO_G0272888_AD_10	AC013394.2	-2.407
ENSG00000154310	TNIK	163.018	0.720300592966544	4.45569506105188e-05	0.0348680417002615	22.492	13.123	ASO_G0272888_AD_10	AC013394.2	2.242
ENSG00000128165	ADM2	63.844	-0.9720055920061	4.69487426721958e-05	0.0349902272172636	3.08	5.828	ASO_G0272888_AD_10	AC013394.2	-1.468
ENSG00000067798	NAV3	400.696	0.480947217547108	6.06379135184807e-05	0.0363563443013732	48.148	33.041	ASO_G0272888_AD_10	AC013394.2	1.298
